Title,Job_Type,Location
Data Collection and Data Entry Specialist,Not specified,Remote
Data Science Tutor/Instructor,Not specified,Lagos
Senior Data Analyst,Not specified,Remote
Data Analyst,Not specified,Lagos
Azure Engineer,Not specified,Lagos
Data Analyst,Not specified,Port Harcourt 
Data Analyst,Not specified,Rivers State
Database Administrator,Not specified,Lagos
Data Analyst,Not specified,Remote
"Manager, People Data Management",Not specified,Remote
"Process, Data & Analytics, Manager",Not specified,Remote
Data Analyst,Not specified,Lagos
Data Controller,Not specified,Port Harcourt 
Data Controller,Not specified,Rivers State
Graduate Intern (Research and / or Data Management),Full Time,Abuja
Principal Programme Officer Statistical Harmonization and Data Management,Full Time,Abuja
Senior HR Assistant Data Management,Full Time,Abuja
Programme Officer Data Management,Full Time,Abuja
Data Analyst,Full Time,Abuja
"Unit Head, Data Monetization - Nigeria",Full Time,Lagos
"Senior Analyst, Data Architecture - Nigeria",Full Time,Lagos(Hybrid)
Data Analyst & Sales Operations Officer,Full Time,Lagos
Data Analytics & Data Science Instructor,Full Time,Lagos
"Team Lead, Data Centre Operations",Full Time,Lagos
Network/Data Centre Engineer - Dispatch,Full Time,Lagos
Senior Data Scientist,Not specified,Lagos
Salesforce Data Entry Returnee - Global,Not specified,Remote
"Team Lead, Data Centre Operations",Full Time,Lagos
AWS Cloud Data Engineer,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Collector and Enumerator,Full Time,Yobe
Data Science for Creatives,Full Time,Abia
Data Analyst,Full Time,Lagos
Head Data Commercialization,Full Time,Lagos
Enumerator / Data Collection Personnel,Not specified,Abia 
Enumerator / Data Collection Personnel,Not specified,Akwa Ibom
Enumerator / Data Collection Personnel,Not specified,Cross River
Enumerator / Data Collection Personnel,Not specified,Ekiti
Enumerator / Data Collection Personnel,Not specified,Ogun 
Enumerator / Data Collection Personnel,Not specified,Ondo
Enumerator / Data Collection Personnel,Not specified,Osun
"Data Analyst, Schools",Full Time,Lagos
Data Dashboard Developer,Full Time,Abuja
Data Dashboard Developer,Full Time,Lagos
Data Analyst,Not specified,Abuja
Data Specialist,Full Time,Abia
Data Analyst,Full Time,Lagos
Data Analyst/Scientist,Full Time,Abuja
"Branch Chief, Monitoring, Evaluation & Data Analytics",Full Time,Lagos
Data Analyst,Full Time,Lagos
Tutor- Data science,Full Time,Benue
Receivable Data Entry Officer,Full Time,Anambra
Data Engineer - Big Data,Full Time,Lagos
Data Analyst,Full Time,Not specified
Senior Data Base Administrator,Full Time,Lagos
Data Sales Consultant,Full Time,Kogi
Data Analyst,Full Time,Not specified
Data Sales Consultant,Full Time,Lagos
Python Data Scientist,Full Time,Abuja
Data Operator,Full Time,Ogun
Investment Data Analyst,Full Time,Lagos
Data Collectors/Supervisors- Lead Mothers Quantitative Study,Full Time,Kano
Master and Reference Data Analyst,Full Time,Lagos
Data Governance Team Lead,Full Time,Lagos
Data Quality Team Member,Full Time,Lagos
"Senior Data Engineer - Global, Remote",Full Time,Lagos
Data Sales Consultant,Full Time,Lagos
Data Analyst,Full Time,Not specified
Data Science Specialist,Full Time,Plateau
Production Data Entry Officer,Full Time,Anambra
Inventory Data Entry Officer,Full Time,Anambra
Senior Data Analyst,Full Time,Lagos
Data Analytics and Visualization Program Associate,Full Time,Abuja
Data Analyst,Full Time,Lagos
Generative AI and Data Science Internship Program,Full Time,Abia
Financial Data Analyst,Full Time,Lagos
"Nutrition Officer (Data, Analytics and Evidence)",Full Time,Sokoto
Data Analyst Instructor,Full Time,Lagos
