job_title,remote_job,full_time,employee_type,job_description,Salary,Industry
"Tax Director, Transfer Pricing",True,True,True,"Develop global transfer pricing strategy, collaborate with business partners, manage transfer pricing documentation process, support M&A, and guide legal entity forecasting. Minimum 12 years of experience with deep knowledge of corporate tax and inter..",,
"Tax Director, Transfer Pricing",True,True,True,"Develop global transfer pricing strategy, collaborate with business partners, manage transfer pricing documentation process, support M&A, and guide legal entity forecasting. Minimum 12 years of experience with deep knowledge of corporate tax and inter..",,
"Tax Director, Transfer Pricing",True,True,True,"Develop global transfer pricing strategy, collaborate with business partners, manage transfer pricing documentation process, support M&A, and guide legal entity forecasting. Minimum 12 years of experience with deep knowledge of corporate tax and inter..",,
"Tax Director, Transfer Pricing",True,True,True,"Develop global transfer pricing strategy, collaborate with business partners & senior management, manage transfer pricing documentation process, support M&amp;A, and guide legal entity forecasting process.",,
"Tax Director, Transfer Pricing",True,True,True,"Develop global transfer pricing strategy, identify new legislation, collaborate with partners, manage documentation, guide forecasting, lead tax digitalization, support M&A, and develop controversy strategy.",,
Ad Mediation Team Lead,True,True,True,Lead the ad mediation team to optimize performance for F2P mobile games. Coordinate with stakeholders to align mediation strategy with business goals. Develop and maintain monitoring systems to identify areas for improvement and automate/streamline pr..,,
"Tax Director, Transfer Pricing",True,True,True,"Develop global transfer pricing strategy and projects, identify new transfer pricing legislation, collaborate with business partners and senior management, manage transfer pricing documentation process.",,
"Tax Director, Transfer Pricing",False,True,True,"Develop global transfer pricing strategy and projects, identify new transfer pricing legislation, collaborate with business partners and senior management, manage transfer pricing documentation process.",,
"Site Reliability Engineer III, Observability",True,True,True,"Implementation & maintenance of Internet-facing infrastructure & services. Use of configuration management & deployment tools. Monitoring of systems & services, optimization of performance, & resource utilization. Typical operating system-level tasks.",,
Channel Account Manager,True,True,True,"Generate partner-sourced opportunities, manage end-to-end sales cycles, enable partners to lead sales, support partners in the partner program, provide value through revenue share, co-selling, referrals, and marketing.",,
Enterprise Account Executive,True,True,True,"Close business, prospect and develop a sales pipeline, build relationships, work with customer success team, facilitate customer engagements, know products and competitive landscape, implement sales improvements.",,
Network Engineer,True,True,True,Collaborate with a great team of helpful and like-minded people designing and implementing network architecture to improve existing infrastructure or build out new locations from the ground up. Learn new things and help determine the business value...,,
Planned Giving Officer,True,True,True,"Develop and execute planned giving program strategies, manage a portfolio of donors and prospects, solicit and secure present, future, and blended gifts, and steward existing members of the Legacy Society. Attend meetings, conferences, and seminars.",,
Engineering Manager,True,True,True,"Lead and develop a team of engineers, coach, mentor & offer career development feedback. Implement disciplined engineering processes, identify & measure team health indicators & represent your team and product to stakeholders, partners & customers.",,
Principal Brand Designer,True,True,True,"Partner with the company's current Principal Brand Designer to define, develop, and deliver company's visual design systems and brand experiences. Collaborating with content, brand, product, developers, and design leadership to ideate and create...",,
Lead Animator Artist,True,True,True,"This position entails a great deal of responsibility and opportunity to drive further the development of your artistic, technical, and creative expertise and will accept applications from 2D and 3D Artists that can work on a variety of art styles. You...",,
